Symbol, TimeStamp,  QuoteTimeStamp, SequenceNumber, BidTimeStamp,Bid, BidSize,  BidExchange, AskTimeStamp, Ask, AskSize, AskExchange,BidVol,MidVol,AskVol,Delta,EstDelta,Gamma,Rho,Vega,Theta,UnderlierBid,UnderlierAsk,ForwardPrice,Borrow,Reserved1,Reserved2,WMP,PFE
SPY   160527C00193500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702219,5/26/2016 8:44:33 AM,15.99,21,J,5/26/2016 8:44:35 AM,16.22,10,C,0,0.57016,0.75774,0.99117,0.99117,0.00336,0.00549,0.00332,-0.01974,209.58,209.59,209.58517,0.00017,16.085,0.02,0,0,
SPY   160527C00194000,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702254,5/26/2016 8:44:34 AM,15.49,21,J,5/26/2016 8:44:35 AM,15.72,10,C,0,0.55438,0.7376,0.99088,0.99088,0.00354,0.00481,0.00324,-0.01975,209.58,209.59,209.58517,0.00017,15.585,0.02,0,0,
SPY   160527C00194500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702198,5/26/2016 8:44:34 AM,14.99,21,J,5/26/2016 8:44:35 AM,15.22,10,C,0,0.53756,0.71728,0.99068,0.99068,0.00372,0.00554,0.00327,-0.01975,209.58,209.59,209.58517,0.00017,15.085,0.02,0,0,
SPY   160527C00195000,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702225,5/26/2016 8:44:34 AM,14.49,21,J,5/26/2016 8:44:35 AM,14.72,10,C,0,0.52134,0.69721,0.99041,0.99041,0.00392,0.0055,0.00323,-0.01976,209.58,209.59,209.58517,0.00017,14.585,0.02,0,0,
SPY   160527C00195500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702247,5/26/2016 8:44:34 AM,13.99,21,J,5/26/2016 8:44:35 AM,14.22,10,C,0,0.50491,0.67648,0.99016,0.99016,0.00416,0.00575,0.00323,-0.01976,209.58,209.59,209.58517,0.00017,14.085,0.02,0,0,
SPY   160527C00196000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770076,5/26/2016 8:44:58 AM,13.49,30,M,5/26/2016 8:44:58 AM,13.72,20,M,0,0,0.59364,0.97272,0.97272,0.00847,0.0056,0.00824,-0.07452,209.64,209.64999,209.64517,0.00017,13.645,-0.04,0,0,
SPY   160527C00196500,5/26/2016 8:45:00 AM,5/26/2016 8:44:37 AM,3712967,5/26/2016 8:44:36 AM,12.99,21,J,5/26/2016 8:44:36 AM,13.25,21,J,0,0,0.62783,0.95978,0.95978,0.01103,0.0062,0.01069,-0.12419,209.62,209.63,209.62517,0.00017,13.125,-0.005,0,0,
SPY   160527C00197000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775874,5/26/2016 8:44:58 AM,12.49,30,M,5/26/2016 8:44:58 AM,12.72,20,M,0,0,0.56707,0.96843,0.96843,0.01,0.00613,0.00853,-0.08442,209.63,209.64,209.63516,0.00017,12.635,-0.03,0,0,
SPY   160527C00197500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702223,5/26/2016 8:44:32 AM,11.99,21,J,5/26/2016 8:44:35 AM,12.23,10,C,0,0.4522,0.60322,0.98682,0.98682,0.00598,0.00631,0.00394,-0.02471,209.58,209.59,209.58517,0.00017,12.085,0.025,0,0,
SPY   160527C00198000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3770066,5/26/2016 8:44:58 AM,11.49,30,M,5/26/2016 8:44:58 AM,11.72,15,M,0,0,0.51756,0.96928,0.96928,0.01072,0.0061,0.00867,-0.07451,209.64,209.64999,209.64517,0.00017,11.645,-0.04,0,0,
SPY   160527C00198500,5/26/2016 8:45:00 AM,5/26/2016 8:44:35 AM,3702260,5/26/2016 8:44:33 AM,11,21,J,5/26/2016 8:44:35 AM,11.23,10,C,0,0.42981,0.56149,0.98375,0.98375,0.00754,0.0059,0.00522,-0.02971,209.58,209.59,209.58517,0.00017,11.085,0.03,0,0,
SPY   160527C00199000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775883,5/26/2016 8:44:58 AM,10.5,36,M,5/26/2016 8:44:58 AM,10.71,10,X,0,0,0.47902,0.96711,0.96711,0.01226,0.00601,0.00897,-0.07452,209.63,209.64,209.63516,0.00017,10.635,-0.03,0,0,
SPY   160527C00199500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775866,5/26/2016 8:44:58 AM,10,56,M,5/26/2016 8:44:58 AM,10.21,20,M,0,0,0.45953,0.96599,0.96599,0.01312,0.00633,0.00913,-0.07444,209.63,209.64,209.63516,0.00017,10.135,-0.03,0,0,
SPY   160527C00200000,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775856,5/26/2016 8:44:58 AM,9.5,36,M,5/26/2016 8:44:58 AM,9.72,23,M,0,0,0.45087,0.96131,0.96131,0.01489,0.0056,0.01076,-0.08448,209.63,209.64,209.63516,0.00017,9.635,-0.025,0,0,
SPY   160527C00200500,5/26/2016 8:45:00 AM,5/26/2016 8:44:31 AM,3680155,5/26/2016 8:44:30 AM,9,15,C,5/26/2016 8:44:30 AM,9.22,20,M,0,0,0.43972,0.9566,0.9566,0.01674,0.00619,0.01174,-0.09437,209.62,209.63,209.62517,0.00017,9.125,-0.015,0,0,
SPY   160527C00201000,5/26/2016 8:45:00 AM,5/26/2016 8:44:31 AM,3680152,5/26/2016 8:44:30 AM,8.5,10,C,5/26/2016 8:44:29 AM,8.72,20,M,0,0,0.41969,0.9548,0.9548,0.01815,0.00619,0.01201,-0.09437,209.62,209.63,209.62517,0.00017,8.625,-0.015,0,0,
SPY   160527C00201500,5/26/2016 8:45:00 AM,5/26/2016 8:44:58 AM,3775873,5/26/2016 8:44:54 AM,8,53,C,5/26/2016 8:44:58 AM,8.22,10,M,0,0,0.39133,0.95636,0.95636,0.01891,0.0064,0.01154,-0.08444,209.63,209.64,209.63516,0.00017,8.135,-0.025,0,0,
SPY   160527C00202000,5/26/2016 8:45:00 AM,5/26/2016 8:44:32 AM,3686935,5/26/2016 8:44:31 AM,7.5,53,C,5/26/2016 8:44:32 AM,7.72,24,X,0,0.30756,0.40973,0.9784,0.9784,0.01342,0.00673,0.00665,-0.02963,209.58,209.58,209.58017,0.00017,7.58,0.03,0,0,
